epoch,file_name,G_loss_total,D_loss_total,D_loss_real,D_loss_gen,PESQ,STOI
1,micA_0001.wav,0.04735823813825846,10.842841863632202,10.348554611206055,0.49428724497556686,1.2231382,0.14809091
1,micA_0002.wav,0.026171034201979637,8.937535047531128,8.695499658584595,0.2420353814959526,1.1866871,0.049429417
1,micA_0003.wav,0.01369337341748178,6.723677158355713,5.728984355926514,0.9946928936988115,1.1620786,0.043324683
1,micA_0004.wav,0.009976758272387087,7.051069378852844,2.5375157594680786,4.5135535299777985,1.2008924,0.09973031
1,micA_0005.wav,0.012963982298970222,7.693807125091553,2.109039857983589,5.584767282009125,1.1514381,0.13299379
1,micA_0006.wav,0.016517603769898415,4.337867915630341,3.389370024204254,0.9484979137778282,1.1640801,0.10616873
1,micA_0007.wav,0.01790659176185727,3.6421355605125427,3.461391568183899,0.18074401281774044,1.1542208,0.13140446
1,micA_0008.wav,0.01197129487991333,3.7139546275138855,2.606768548488617,1.1071860641241074,1.2358851,0.13743219
1,micA_0009.wav,0.01270104618743062,4.343865275382996,1.7939994931221008,2.5498657822608948,1.1694055,0.057790115
1,micA_0010.wav,0.018757947720587254,2.63556444644928,2.124112069606781,0.5114523097872734,1.1846223,0.07087122
1,micA_0011.wav,0.017754455329850316,2.602366089820862,2.330848753452301,0.2715173177421093,1.1932577,0.060124166
1,micA_0012.wav,0.011370716616511345,3.8808894753456116,1.127301275730133,2.753588303923607,1.2778792,0.10682149
1,micA_0013.wav,0.011631140019744635,6.357603907585144,0.9309820234775543,5.4266219437122345,1.2344385,0.08973773
1,micA_0014.wav,0.012419202597811818,4.539174556732178,2.6838472485542297,1.8553272783756256,1.2672048,0.10937565
1,micA_0015.wav,0.01184786669909954,5.242791533470154,3.7570303678512573,1.485761120915413,1.315479,0.090711825
1,micA_0016.wav,0.014621849404647946,5.417436599731445,4.585147976875305,0.8322886079549789,1.2125,0.10487395
1,micA_0017.wav,0.015717149479314685,3.00102037191391,2.522438883781433,0.4785814732313156,1.2546023,0.1466577
1,micA_0018.wav,0.007987893419340253,3.712982714176178,1.1334659829735756,2.579516753554344,1.2328477,0.076976426
1,micA_0019.wav,0.006653301941696554,3.8223119974136353,0.5812526941299438,3.2410593032836914,1.2871057,0.12306488
1,micA_0020.wav,0.010370611445978284,2.619636595249176,1.5809191167354584,1.0387175232172012,1.2613211,0.09983093
1,micA_0021.wav,0.008112073293887079,2.607907235622406,1.5772648453712463,1.0306423008441925,1.3010063,0.13601734
1,micA_0022.wav,0.008213047287426889,2.8651039004325867,1.1160800606012344,1.7490238547325134,1.4011966,0.07810517
1,micA_0023.wav,0.011651323176920414,2.3086509108543396,1.388279139995575,0.920371800661087,1.3208882,0.108574346
1,micA_0024.wav,0.0072412051958963275,2.615542471408844,1.576532006263733,1.03901045024395,1.3743017,0.09386144
1,micA_0025.wav,0.010262498399242759,2.7191240191459656,0.7708151489496231,1.9483088552951813,1.2883298,0.12549591
1,micA_0026.wav,0.010301813017576933,2.9960684776306152,2.116096317768097,0.8799722045660019,1.2661319,0.11424679
1,micA_0027.wav,0.006975951138883829,2.9385180473327637,2.003172904253006,0.9353451132774353,1.2298999,0.080608174
1,micA_0028.wav,0.00470220553688705,2.9642940163612366,1.193285584449768,1.771008461713791,1.2297593,0.061773274
1,micA_0029.wav,0.008055303827859461,2.6797186136245728,1.5509523153305054,1.1287662982940674,1.2327662,0.06508531
1,micA_0030.wav,0.006114955409429967,2.7641637921333313,0.9818462878465652,1.7823175489902496,1.233696,0.045956623
1,micA_0031.wav,0.010679223341867328,2.5800753831863403,1.3402844369411469,1.239790990948677,1.2968987,0.07083206
